name,xx,yy,fj,color,rgb
桃仁,292.7025318,-583.6187363, , ,"rgb(79.72725527826942,116.4229902718847,123.76987892461518)"
泽兰,277.3356438,-815.3596878, , ,"rgb(178.13935279123234,137.80233828247358,103.91284357016794)"
丹参,214.8224354,-670.6487179, , ,"rgb(121.37202710239475,131.32129086356912,112.7801284358283)"
茜草,191.2685871,-741.4805412, , ,"rgb(149.65245330375845,142.17209957567133,107.89426412774003)"
小蓟,297.4273443,-662.2830868, , ,"rgb(177.35102570807834,101.6907510687254,85.82922199544333)"
白茅根,263.984251,-968.1796074,十灰散,"rgb(211, 93, 109)","rgb(167.54268324740283,181.13446414674334,168.55742144801934)"
仙鹤草,251.4322996,-616.0720825, , ,"rgb(0,124,128)"
鱼腥草,216.5284395,-878.3743858, , ,"rgb(167.56241539719875,164.4720363349923,141.1826470017794)"
太子参,450.3205299,-994.2559242, , ,"rgb(157.0177677878809,186.43139855867818,186.78620918192462)"
黄精,406.6632748,-1012.418842, , ,"rgb(160.77004807484437,188.89199048153873,186.8712183653103)"
黄芩,228.1280756,-728.0767918, , ,"rgb(159.21942380681787,128.23576608423673,83.75086918243004)"
女贞子,353.2286882,-671.7360973,二至丸,"rgb(226, 162, 190)","rgb(232,78,60)"
墨旱莲,389.4002438,-697.5903511, , ,"rgb(183.594499346605,80.56401987413943,74.25134931894804)"
茯苓,362.533927,-1064.823151, , ,"rgb(163.4765239595045,199.84517006376026,195.84089591642015)"
陈皮,281.7278862,-881.4469337, , ,"rgb(172.4654350362384,157.35599147710607,137.69296921505457)"
薏苡仁,334.2226505,-1011.558628, , ,"rgb(165.04305274094858,188.37069674027543,181.99310284332518)"
酸枣仁,334.7590923,-608.6952209, , ,"rgb(137.32016366254385,95.56774029459655,101.45691831107074)"
黄芪,343.0436373,-955.0682068, , ,"rgb(166.00756997745304,174.68734693228788,167.43554551942174)"
车前子,444.9765205,-735.8710766, , ,"rgb(147.50437129646983,108.03442905620516,111.02979451668212)"
甘草,397.3070383,-1043.750668,完带汤,"rgb(206, 207, 123)","rgb(161.60924637328338,195.59950519694084,193.09624694192746)"
山药,396.2347746,-969.1259384, , ,"rgb(161.46067288782362,178.5915505269357,176.0655707176683)"
白芍,255.180192,-747.8413105, , ,"rgb(174,121,50)"
菟丝子,409.8154068,-893.8652039,左归丸,"rgb(74, 161, 95)","rgb(160,160,160)"
山茱萸,379.0473461,-757.0333481, , ,"rgb(186.50591334257263,108.55986092736545,93.56453361220005)"
熟地黄,430.9466839,-693.8779354, , ,"rgb(131.98577195682356,85.93727846573596,93.4568234901645)"
当归,346.9336033,-824.6092796,当归六黄汤,"rgb(8, 133, 194)","rgb(179.2017255345469,135.2677704574159,117.7841709761909)"
地黄,409.9891186,-646.3778973, , ,"rgb(0,49,75)"
